Protocol,Statut,Blockchain,Action,Date,Site,Twitter,Note
Hop Exchange,Airdrop Farmable + 90 % chance of an airdrop,Cross-Chain,Use the bridge + be LP + stake the LP,End 2021,https://hop.exchange/,https://twitter.com/HopProtocol,Rumor airdrop RT by the founder
Dex Guru,Airdrop Farmable + 90 % chance of an airdrop,MultiChain,"Make Swaps on Ethereum, Polygon, BSC",Unknown,https://dex.guru/,https://twitter.com/dexguru,To raise funds from Julien Bouteloup who does airdrops all the time
Cowswap,Airdrop Farmable + 90 % chance of an airdrop,Ethereum + xDai,Make swaps + have a Poap + hodl $GNO,End 2021,https://cowswap.exchange/,https://twitter.com/MEVprotection,Airdrop rumor on their twitter + community member + proposal: https://forum.gnosis.io/t/gip-13-gnosis-protocol-token/1529
Paraswap,Airdrop Live,MultiChain,https://medium.com/paraswap/introducing-the-psp-token-to-make-paraswap-even-more-efficient-and-decentralized-c4730e50be72,Unknown,https://paraswap.io/#/?network=polygon,https://twitter.com/paraswap,Big rumors: https://twitter.com/paraswap/status/1439540772865458179?s=21 and https://twitter.com/paraswap/status/1440767449918427136?s=20 and https://twitter.com/FrankResearcher/status/1456992470777188354
Slingshot,Airdrop Farmable,Polygon,Makes swaps,Unknown,https://slingshot.finance/,https://twitter.com/SlingshotCrypto,Speculative + has no token yet
Superfluid,Airdrop Farmable,Polygon + xDai,Use the protocol,Unknown,https://www.superfluid.finance/,https://twitter.com/Superfluid_HQ,Speculative + has no token yet
Botto,Airdrop Live,Ethereum,Own a blue chip nft,Live,https://botto.com/,https://twitter.com/bottoproject,https://twitter.com/ElectionDayMad1/status/1447418648642170882
ApeBoard,Airdrop Farmable,Multichain,Create a profil + make a swap + make a donation,Unknown,https://apeboard.finance/dashboard,https://twitter.com/ape_board,Speculative + has no token yet
Robo vault,Airdrop Farmable + 90 % chance of an airdrop,Fantom,Use vaults,End 2021-2022,https://www.robo-vault.com/,https://twitter.com/robo_vault,"https://docs.robo-vault.com/robovault-v2/untitled, snapshots taken between 1st August and 29th September for V1 vaults and others snapshots are taken everydays"
Artion,Airdrop Farmable,Fantom,Buy and Sell NFTs,Unknown,https://artion.io/,/,This is Andre Cronje behind with Fantom
Elrond,Airdrop Farmable + 90 % chance of an airdrop,Elrond,Have used the testnet (closed) + have participated in the BOY + have stake $EGLD,End 2021,https://elrond.com/,https://twitter.com/ElrondNetwork,Insinuated by the founder via tweets + airdrop MEX already farmable
Wormhole,Airdrop Farmable,Cross-Chain,Use the bridge,Unknown,https://wormholebridge.com/,https://twitter.com/wormholecrypto,Speculative + has no token yet
Metamask,Airdrop Farmable,MultiChain,"Make swaps on Ethereum, Polygon, BSC",Unknown,https://metamask.io/,https://twitter.com/MetaMask,https://twitter.com/ethereumJoseph/status/1457834493469884418
xDefi,Airdrop Farmable,MultiChain,Use the wallet (with invite code only),Unknown,https://www.xdefi.io/,https://twitter.com/xdefi_wallet,Speculative + has no token yet
Opensea,Airdrop Farmable,Multichain,"Use mobil app + buy, sell, make offers on NFTs",Unknown,https://opensea.io/,https://twitter.com/opensea,Big rumors
Arbitrum,Airdrop Farmable,Arbitrum,Use the official bridge (https://bridge.arbitrum.io/) + BC (blockchain),Unknown,https://arbitrum.io/,https://twitter.com/arbitrum,Big rumors + insinuated by these crypto twittos recognized
Optimism,Airdrop Farmable,Optimism,Use the official bridge (https://gateway.optimism.io/) + BC (blockchain),Unknown,https://optimism.io/,https://twitter.com/optimismPBC,Big rumors + insinuated by these crypto twittos recognized
xPollinate,Airdrop Farmable,Multichain,Have use the bridge,Unknown,https://www.xpollinate.io/,https://twitter.com/ConnextNetwork,Speculative + has no token yet
Defi Saver,Airdrop Farmable,Ethereum,Have use the protocol,Unknown,https://defisaver.com/,https://twitter.com/defisaver,Speculative + has no token yet
Kryll,Airdrop Farmable,Ethereum,"Have use the protocol (launch live trading sessions, swap tokens...)",Unknown,https://kryll.io/,https://twitter.com/kryll_io,Rumors + Speculative
Larix,Airdrop Live,Solana,Have lend et borrow,Live,https://projectlarix.com/,https://twitter.com/ProjectLarix,Rumors via private TG groups
Marinade,Airdrop Live,Solana,Have $mSOL,Live,https://marinade.finance/,https://twitter.com/MarinadeFinance,Rumors via private TG groups + https://medium.com/marinade-finance/introducing-mnde-marinades-secret-sauce-4bf5670463fc
Solend,Airdrop Live,Solana,Have lend et borrow,Live,https://solend.fi/,https://twitter.com/solendprotocol,Rumors via private TG groups + twitter: https://twitter.com/defi_airdrops/status/1436852240548040707
Sonar,Airdrop Farmable,Solana,Have used the tracker + make swaps,End 2021,https://sonar.watch/,https://twitter.com/Sonarwatch,https://sonarwatch.medium.com/introducing-sonar-token-8e0a2aa5d63
Symmetry,Airdrop Farmable,Solana,Make swaps,End 2021,https://symmetry.fi/,https://twitter.com/symmetry_fi,Rumors via private TG groups
Digital Eyes,Airdrop Farmable,Solana,Buy or sell an NFT,Unknown,https://digitaleyes.market/,https://twitter.com/DigitalEyesNFT,Speculative
Solanart,Airdrop Farmable,Solana,Buy or sell an NFT,Unknown,https://solanart.io/,https://twitter.com/SolanartNFT,Speculative
Psy Options,Airdrop Farmable,Solana,Buy an option,Unknown,https://psyoptions.io/,https://twitter.com/PsyOptions,Speculative + has no token yet
Francium,Airdrop Farmable,Solana,Use the protocol,Unknown,https://francium.io/,https://twitter.com/Francium_Defi,Speculative + has no token yet
Minswap,Airdrop non Farmable,Cardano,Have make 5 tx,Unknown,https://minswap.org/,https://twitter.com/MinswapDEX,Tweet by the project (currently down)
Adamant,Airdrop Farmable + 90 % chance of an airdrop,Polygon + Arbitrum,Have lock $ADDY,44470,https://adamant.finance/,https://twitter.com/AdamantVault,Tweet by Project: https://adamantfinance.medium.com/adamant-on-arbitrum-4ef79aa5050b
Thales,Airdrop Live,Ethereum + Optimism,Have $SNX stake,Live,https://thalesmarket.io/,https://twitter.com/thalesmarket,Airdrop already live
Lyra,Airdrop Live,Ethereum + Optimism,https://leaps.lyra.finance/leaps/leap-8,Live,https://www.lyra.finance/,https://twitter.com/lyrafinance,https://leaps.lyra.finance/leaps/leap-8
Kwenta,Airdrop Farmable + 90 % chance of an airdrop,Ethereum + Optimism,Have $SNX stake + make swaps,End 2021,https://kwenta.io/,https://twitter.com/kwenta_io,Big rumors
Uniswap,Airdrop Farmable,Optimism + Arbitrum,Have done swaps,Unknown,https://uniswap.org/,https://twitter.com/Uniswap,Speculative because a lot of cash + wants to push Optimism
Foundation,Airdrop Farmable,Ethereum,Have bought an NFT,Unknown,https://foundation.app/,https://twitter.com/foundation_nft,In reference to the Superrare airdrop
Luchadores,Airdrop Farmable + 90 % chance of an airdrop,Ethereum,Have mint and/or hodl a luchador,End 2021,https://luchadores.io/,https://twitter.com/LuchadoresNFT,Airdrop confirm by dev
Zapper,Airdrop Farmable + 90 % chance of an airdrop,Cross-Chain,Do the quests + claim the NFTs,Unknown,https://zapper.fi/fr,https://twitter.com/zapper_fi,Big rumors
pStake,Airdrop Live,Ethereum,Have Stake $XPRT + have stake/hold $ATOM + have use DEFI protocols,Live,https://pstake.finance/,https://twitter.com/pStakeFinance,Airdrop already live
Abracadabra Money,Airdrop Finished,Arbitrum,Have deposited $ETH + mint MIM before September 20th,End 2021,https://abracadabra.money/,https://twitter.com/MIM_Spell,"Airdrop confirmed by the project, protocol to be used before September 19: https://twitter.com/MIM_Spell/status/1438275209262424071"
Handle,Airdrop non Farmable,Testnet Arbitrum,Have mint fixed token before September 21,End 2021,https://handle.fi/,https://twitter.com/handle_fi,"Airdrop confirmed by the project, use the protocol before September 21"
Thorswap,Airdrop Farmable + 90 % chance of an airdrop,Crosschain,Have stake of $RUNE + have used the protocols on it : https://thorswap.medium.com/thor-launch-begins-november-1st-on-thorstarter-94eb11dedd80,End 2021,https://thorswap.finance/,https://twitter.com/THORSwap,https://twitter.com/THORSwap/status/1458087705837985793
Votium,Airdrop Farmable,Ethereum,Have delegated its $CVX,Unknown,https://votium.app/,https://twitter.com/VotiumProtocol,Speculative + has no token yet
